Date,Tavg,RH_avg,RR,ss,ff_avg
01/01/2020,28.2,76,0.0,4.9,4
02/01/2020,27.7,83,0.0,4.9,4
03/01/2020,28.3,78,0.0,5.3,4
04/01/2020,27.9,79,0.0,5.7,3
05/01/2020,28.0,78,3.7,4.2,4
06/01/2020,26.8,84,0.0,10.5,4
07/01/2020,26.2,87,8.2,6.2,4
08/01/2020,28.1,79,3.6,2.7,5
09/01/2020,27.9,80,3.6,7.4,4
10/01/2020,27.7,82,1.7,6.9,3
11/01/2020,27.4,82,0.0,1.8,3
12/01/2020,27.8,78,0.0,3.0,4
13/01/2020,27.5,78,0.0,7.9,4
14/01/2020,28.1,74,0.0,9.1,4
15/01/2020,27.1,80,2.0,7.4,4
16/01/2020,27.7,80,0.5,6.2,3
17/01/2020,28.1,74,0.0,0.0,4
18/01/2020,28.0,82,0.0,10.1,4
19/01/2020,28.6,79,0.0,9.2,5
20/01/2020,28.7,77,0.0,10.5,6
21/01/2020,26.5,90,6.5,3.7,4
22/01/2020,28.6,78,7.3,0.1,4
23/01/2020,28.2,80,0.0,10.8,6
24/01/2020,28.3,76,0.0,10.4,5
25/01/2020,27.9,75,0.0,10.6,4
26/01/2020,27.9,79,0.0,10.8,4
27/01/2020,28.2,80,0.0,10.3,4
28/01/2020,28.3,80,0.0,6.2,3
29/01/2020,27.0,86,0.0,10.4,3
30/01/2020,26.7,84,37.1,3.3,4
31/01/2020,28.7,72,0.0,4.5,6
